"Add a product to cart and receive the same product as a gift.","Add a product to cart and receive the same product as a gift."
"Add gift for whole cart","Add gift for whole cart"
"Add gift to cart as long as at least one non-gift product is in the cart.","Add gift to cart as long as at least one non-gift product is in the cart."
"Add gift when certain products are added to cart","Add gift when certain products are added to cart"
"Add promotional product to cart as long as at least one of the products matching the action conditions is mets.","Add promotional product to cart as long as at least one of the products matching the action conditions is mets."
"Add same product as gift to the cart","Add same product as gift to the cart"
"Add to cart","Add to cart"
"Add To Cart Message","Add To Cart Message"
"All products from categories below","All products from categories below"
"All products listed below","All products listed below"
"Any product from categories below","Any product from categories below"
"Any products listed below","Any products listed below"
"Auto Add","Auto Add"
"Besetselling (asc)  (Requires Product Sorting)","Besetselling (asc)  (Requires Product Sorting)"
"Bestselling (desc) (Requires Product Sorting)","Bestselling (desc) (Requires Product Sorting)"
"Bestselling / popularity requires <a href=""http://www.extendware.com/magento-sorting.html""><b>Product Sorting</b></a>","Bestselling / popularity requires <a href=""http://www.extendware.com/magento-sorting.html""><b>Product Sorting</b></a>"
"Buy 1 and get 1 free","Buy 1 and get 1 free"
"Buy 2 cameras and get the 3rd camera free.","Buy 2 cameras and get the 3rd camera free."
"Buy any product and receive a free pen","Buy any product and receive a free pen"
"Buy any product from the camera category and receive a free pen","Buy any product from the camera category and receive a free pen"
"Buy any two apparel products and receive a free t-shirt branded with our store logo!","Buy any two apparel products and receive a free t-shirt branded with our store logo!"
"Buy any two products and receive a free t-shirt branded with our store logo!","Buy any two products and receive a free t-shirt branded with our store logo!"
"Category List","Category List"
"Choose an Option...","Choose an Option..."
"Close Box","Close Box"
"Comma separated list of the category IDs. Promotion will apply to products in these categories.","Comma separated list of the category IDs. Promotion will apply to products in these categories."
"Comma separated list of the product SKUs. Promotion will apply to products matching these SKUs.","Comma separated list of the product SKUs. Promotion will apply to products matching these SKUs."
Configuration,Configuration
"Custom Cart Message","Custom Cart Message"
Default,Default
"Default (built-in)","Default (built-in)"
Description,Description
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Discount rule help information","Discount rule help information"
"Discout Amount","Discout Amount"
"Enable if the free products should also receive free shipping","Enable if the free products should also receive free shipping"
"Enable to automatically add free products to cart if possible. Configurable products or products with required options will not be auto-added. Products where 1 of many must be selected will not be auto-added either.","Enable to automatically add free products to cart if possible. Configurable products or products with required options will not be auto-added. Products where 1 of many must be selected will not be auto-added either."
Extendware,Extendware
"Extendware Free Gift","Extendware Free Gift"
FG,FG
"Final Price (asc)","Final Price (asc)"
"Final Price (desc)","Final Price (desc)"
"Free Gift","Free Gift"
"Free Shipping Status","Free Shipping Status"
General,General
Main,Main
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
Messages,Messages
"Most Viewed (asc)  (Requires Product Sorting)","Most Viewed (asc)  (Requires Product Sorting)"
"Most Viewed (desc) (Requires Product Sorting)","Most Viewed (desc) (Requires Product Sorting)"
"Name (asc)","Name (asc)"
"Name (desc)","Name (desc)"
"Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs.","Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs."
"Price (asc)","Price (asc)"
"Price (desc)","Price (desc)"
"Product Add Type","Product Add Type"
"Product List","Product List"
"Product Sort By","Product Sort By"
"Products from the listed categories will be added to cart as promotional items.","Products from the listed categories will be added to cart as promotional items."
"Select %s Free Gift(s)","Select %s Free Gift(s)"
Settings,Settings
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special Information For Fields","Special Information For Fields"
"The custom message added to the free products","The custom message added to the free products"
"The list of promotional items. These are the items that will be added to the cart for free.","The list of promotional items. These are the items that will be added to the cart for free."
"The maximum number of free products added. If 6 products are added to cart and Discount Qty Step is 2, then that would be 3 sets of products. If Discount Amount is 1, then a total of 3 (1*3) products can be added to the cart up to the maximum of Maximum Qty Discount is Applied To.","The maximum number of free products added. If 6 products are added to cart and Discount Qty Step is 2, then that would be 3 sets of products. If Discount Amount is 1, then a total of 3 (1*3) products can be added to the cart up to the maximum of Maximum Qty Discount is Applied To."
"The message that is shown in the cart / checkout pages when the customer has free gifts available for selection.","The message that is shown in the cart / checkout pages when the customer has free gifts available for selection."
"The mode that the products listed will be added. Either all or only one of them. If any of them is the add type then the customer must select the preferred product.","The mode that the products listed will be added. Either all or only one of them. If any of them is the add type then the customer must select the preferred product."
"The notice that is displayed when a free product is added to cart.","The notice that is displayed when a free product is added to cart."
"The number of free products to add for each step. If Discount Qty Step is 2 and 6 products are in the cart, then there would be 3 sets. Each set will generate Discount Amount free products.","The number of free products to add for each step. If Discount Qty Step is 2 and 6 products are in the cart, then there would be 3 sets. Each set will generate Discount Amount free products."
"The number of items that must be added to the cart before adding the free product. If this is set to 2 and 4 products are added to cart, then 2*[Maximum Qty Discount is Applied To] will be added to the cart.","The number of items that must be added to the cart before adding the free product. If this is set to 2 and 4 products are added to cart, then 2*[Maximum Qty Discount is Applied To] will be added to the cart."
"There is no defined renderer for ""%s"" option type.","There is no defined renderer for ""%s"" option type."
"Unclaimed Gifts Message","Unclaimed Gifts Message"
"Use Case","Use Case"
